Year,Ped,Car,HGV,Bus/Mini Bus,M/cycle,Pick-up,Cycle,Other
6/13/1905,423.00,85.00,106.00,177.00,16.00,45.00,28.00,17.00
6/14/1905,388.00,126.00,83.00,215.00,18.00,23.00,43.00,12.00
6/15/1905,404.00,93.00,118.00,186.00,11.00,29.00,35.00,18.00
6/16/1905,367.00,81.00,91.00,180.00,18.00,41.00,22.00,17.00
6/17/1905,488.00,95.00,87.00,232.00,21.00,34.00,40.00,19.00
6/18/1905,461.00,115.00,130.00,197.00,15.00,47.00,44.00,32.00
6/19/1905,491.00,107.00,111.00,181.00,28.00,48.00,30.00,10.00
6/20/1905,630.00,137.00,150.00,328.00,29.00,55.00,63.00,24.00
6/21/1905,528.00,142.00,111.00,281.00,35.00,50.00,60.00,10.00
6/22/1905,662.00,207.00,189.00,314.00,42.00,72.00,62.00,13.00
6/23/1905,757.00,182.00,146.00,399.00,44.00,41.00,59.00,31.00
6/24/1905,681.00,202.00,171.00,421.00,48.00,57.00,69.00,16.00
6/25/1905,724.00,218.00,228.00,341.00,53.00,47.00,91.00,16.00
6/26/1905,869.00,246.00,235.00,556.00,100.00,53.00,100.00,14.00
6/27/1905,733.00,242.00,200.00,317.00,109.00,76.00,92.00,13.00
6/28/1905,770.00,206.00,270.00,382.00,94.00,34.00,84.00,16.00
6/29/1905,880.00,212.00,213.00,414.00,182.00,36.00,85.00,16.00
6/30/1905,855.00,274.00,184.00,282.00,170.00,45.00,111.00,13.00
7/1/1905,938.00,283.00,193.00,466.00,192.00,53.00,92.00,20.00
7/2/1905,853.00,271.00,159.00,325.00,210.00,55.00,91.00,22.00
7/3/1905,898.00,251.00,168.00,427.00,313.00,46.00,80.00,16.00
